,Unnamed: 0,Performance,Video URL,video
123,123,0.7471283111,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-894457734962164,Video/video_123.mp4
124,124,1.711303935,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-894066258497958,Video/video_124.mp4
125,125,1.283135824,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-893539262677484,Video/video_125.mp4
126,126,1.328680983,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-893173505441981,Video/video_126.mp4
127,127,0.8073520129,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-892383375224287,Video/video_127.mp4
128,128,0.7423658495,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-891684945300160,Video/video_128.mp4
129,129,0.4439299301,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-891661008828094,Video/video_129.mp4
130,130,0.2669706501,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-891391212618023,Video/video_130.mp4
131,131,0.03826139293,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-890166872024685,Video/video_131.mp4
132,132,1.791661411,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-890005255637433,Video/video_132.mp4
133,133,0.486699556,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-889728479746704,Video/video_133.mp4
134,134,1.341744679,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-889604775414234,Video/video_134.mp4
135,135,0.7384565508,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-889375178765113,Video/video_135.mp4
136,136,0.9060918685,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-888593019388197,Video/video_136.mp4
137,137,1.523076282,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-888183703182855,Video/video_137.mp4
138,138,0.3406172294,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-888062106715252,Video/video_138.mp4
139,139,1.129624317,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-888056015719840,Video/video_139.mp4
140,140,0.01668712856,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-887363366529815,Video/video_140.mp4
141,141,0.2970386252,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-886609482926268,Video/video_141.mp4
142,142,1.531954179,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-886049645973007,Video/video_142.mp4
143,143,0.6347656234,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-885689066019680,Video/video_143.mp4
144,144,1.350810507,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-885670366433640,Video/video_144.mp4
145,145,0.3478123897,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-885209946993560,Video/video_145.mp4
146,146,1.33170126,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-883738210384679,Video/video_146.mp4
147,147,0.8127453958,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-883246492824014,Video/video_147.mp4
148,148,1.74631201,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-882993126248062,Video/video_148.mp4
149,149,0.2661579575,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-8828692983838031,Video/video_149.mp4
150,150,0.8466512792,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-882867522830120,Video/video_150.mp4
151,151,1.203030112,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-882019143545185,Video/video_151.mp4
152,152,0.01392580132,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-881925359723909,Video/video_152.mp4
153,153,1.120662035,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-8816515918390519,Video/video_153.mp4
154,154,0.8796058911,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-881342303358042,Video/video_154.mp4
155,155,0.3190458432,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-881270063889884,Video/video_155.mp4
156,156,0.374089207,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-8806609246079208,Video/video_156.mp4
157,157,1.218346851,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-880568190186256,Video/video_157.mp4
158,158,0.08989470453,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-880340126836307,Video/video_158.mp4
159,159,1.469411339,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-8796411607036992,Video/video_159.mp4
160,160,1.380494758,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-879631723735807,Video/video_160.mp4
161,161,0.4078542222,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-879049300656635,Video/video_161.mp4
162,162,0.916973098,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-877975993416760,Video/video_162.mp4
163,163,1.783370252,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-877662697022279,Video/video_163.mp4
164,164,0.8350680416,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-877511836784655,Video/video_164.mp4
165,165,1.133658625,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-877210454387561,Video/video_165.mp4
166,166,0.5953271079,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-877129693575192,Video/video_166.mp4
167,167,0.7700681315,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-876239523982490,Video/video_167.mp4
168,168,0.5976988569,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-876121221160846,Video/video_168.mp4
169,169,0.8062072581,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-875485623676104,Video/video_169.mp4
170,170,1.515672416,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-874864704574925,Video/video_170.mp4
